linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
9,Sabir,1/5 Stars,16-08-21,🥶,Faisalabad
9,Modassar,2/5 Stars,16-08-21,Dominos in pakistan is not like international level dominos,Faisalabad
9,Muhammadirfan,2/5 Stars,14-08-21,Pathetic experience.... too late... cold pizzas,Faisalabad
9,Menekshe,1/5 Stars,14-08-21,i never received my order and the rider probably gave it to someone else 😐😐,Faisalabad
9,MuhammadHassan,4/5 Stars,11-08-21,Acceptable. The quality has improved... they are back to how they usually served their pizza. I was pleased with my order. The lava cake is phenomenal as usual. 4 stars. They will have to work hard to get the 5th. Further improvement can be made. But it was still way better than pizza hut or any other pizza i have had to this date in pakistan.,Faisalabad
9,Fahad,2/5 Stars,09-08-21,My stomach got upset,Faisalabad
12,Adv,1/5 Stars,27-06-21,Costly so much,Faisalabad
12,Farooq,2/5 Stars,25-01-21,This vendor of your needs to develop a taste in their food.,Faisalabad
12,HakeemMuhammad,1/5 Stars,23-01-21,No value for money. Ordered double beef burger of 490 but it was tinny and the beef fellet was over cooked,Faisalabad
13,Adnan,3/5 Stars,20-05-21,I urge every user (and foodpanda) to insist on actual product photos. I did not get the tower burger I expected as in description. It was one crispy patty and one chicken patty. Word tower should be reserved for something taller.,Faisalabad
14,Areeba,5/5 Stars,31-07-21,Taste good,Faisalabad
14,Shanza,2/5 Stars,30-07-21,Its was normal taste was soo soo,Faisalabad
15,Aqsa,2/5 Stars,06-07-21,"Russian salad taste average!!
Not too good!",Faisalabad
15,Misbah,1/5 Stars,29-06-21,"Pizza was burnt from upside, it was really really very bad experience",Faisalabad
15,sehar,5/5 Stars,27-06-21,Cold coffee was amazing💕,Faisalabad
15,Tayyab,1/5 Stars,19-05-21,Very poor,Faisalabad
15,Aqsa,5/5 Stars,04-05-21,M,Faisalabad
15,Ameer,1/5 Stars,18-04-21,I just wasted my money,Faisalabad
16,saba,1/5 Stars,10-09-21,I ordered for mini chocolate cake and they send me simple cake with caramel covering,Faisalabad
16,Muhammad,1/5 Stars,23-07-21,"This product is available in Rs 100, you have charged 360 ? Pagal banaya bht acha",Faisalabad
16,Ayesha,5/5 Stars,14-07-21,Well good experience am old coustmr of badr Bakery,Faisalabad
16,Iqra,3/5 Stars,26-06-21,this is not one pound cake v disappointed,Faisalabad
16,Tahir,1/5 Stars,09-06-21,I didn’t get what I ordered,Faisalabad
16,iqra,1/5 Stars,29-05-21,Brownoes were too small and prices are so high,Faisalabad
16,Zukhruf,2/5 Stars,23-05-21,Taste was good and fresh but the quantity of food was very very disappointing...,Faisalabad
16,Mohsin,1/5 Stars,01-05-21,Food panda sa mangwany ka yeh matlab nahi keh cheez achi na bhjo .. cakeruss sab takreban totay huay .. choora b bech me he aise jaise akhree tray thi tu socha sab bhj dain,Faisalabad
16,Rai,1/5 Stars,07-04-21,Very poor. I ordered one pound cake and they sent a very small mini cake instead. Betrayed me and then closed the restaurant immediately.,Faisalabad
16,Komal,1/5 Stars,06-04-21,So small size they weren't looking one pond,Faisalabad
16,Anam,2/5 Stars,07-03-21,Taste but acha hai lakin brownies ka size bht chotakar diya hai ...paisy zyda aur quantity bht tori kar di hai....jitny paisy laty han us k hisab se pls cheez b sale karn .....😤,Faisalabad
16,Muhammad,1/5 Stars,23-02-21,The brownie was extremely small considering the price,Faisalabad
16,Farwa,1/5 Stars,21-01-21,Cake quality was zero. And it was not even able to be eaten. Taste was not good. 0/10,Faisalabad
16,Mudasar,5/5 Stars,19-12-20,Packing wasn't up to the mark,Faisalabad
16,abdullah,4/5 Stars,01-12-20,Good taste,Faisalabad
16,Fiza,1/5 Stars,15-11-20,Cake ruskss is very bad and small,Faisalabad
17,Mustansar,2/5 Stars,02-08-21,Food was prepared in low quality oil....,Faisalabad
17,Riz,1/5 Stars,24-02-21,very cheap food,Faisalabad
17,Hasaan,1/5 Stars,21-02-21,Half items are missing,Faisalabad
17,abdullah,1/5 Stars,14-02-21,"Worst food
The fries were so less in quantity
They did NOT send my ONE more drink and dip 
The drink they sent was tasting like Rust and The dip was watery
And their branch was NOT collecting my call
This was worst
And it had good Taste but since this YEAR they have runied their image",Faisalabad
17,Muhammad,1/5 Stars,23-06-20,Worse taste of Chinese Food. Was not expecting from Cock & Bull. Sheff should be changed.,Faisalabad
17,aqsa,1/5 Stars,05-04-20,"It was v bad experience..burger n fries are taste less.. i ""ll never order again ..",Faisalabad
17,Rana,1/5 Stars,08-03-20,"Oily burger. Could have prepared a better zinger at home. No taste at all. Completely uncooked fries. Overall, it was my worst experience with Cock & Bull.",Faisalabad
17,Usman T,1/5 Stars,07-01-19,So bad Experience with Cock N Bull please never order they dont even bother delivering,Faisalabad
17,Mahnoor,4/5 Stars,26-11-18,The delivery is worst but food is good,Faisalabad
17,Shehroz K,2/5 Stars,27-09-18,very bad,Faisalabad
