restaurantID,linkNumber,cityCode,restaurantName,restaurantRating,openingTime,closingTime,restaurantAddress,latitude,longitude,restaurantImage,city
r12,12,r,JIK JIK CHINESE RESTAURANT,4/5 Stars,12:00 PM, 11:59 pm,"342 B, Block A Police Foundation,  Opp shafi hospital main pwd road , islamabad, 44000 Islamabad",33.565682,73.129955,https://images.deliveryhero.io/image/fd-pk/LH/g0nr-hero.jpg,Rawalpindi
r13,13,r,Heartee's Fast Food,3.9/5 Stars,10:00 AM, 11:59 pm,"Heartees Fast Food, AFIC Hospital, Mall Road, Saddar, Rawalpindi, 46000 Rawalpindi",33.5964536,73.045342,https://images.deliveryhero.io/image/fd-pk/LH/v8ei-hero.jpg,Rawalpindi
r14,14,r,SAS Nutritional Food Services,3.6/5 Stars,10:15 AM, 10:45 pm,"4th Floor, Hearts International Hospital, Opposite Pearl Continental Hotel, Saddar, Rawalpindi, 46000 Rawalpindi",33.5894693,73.0592911,https://images.deliveryhero.io/image/fd-pk/LH/nyxk-hero.jpg,Rawalpindi
r15,15,r,7 Spices Restaurant & Takeaway,3.1/5 Stars,10:00 AM, 10:00 pm,"34-A, Al-amin Plaza,Opp Military Hospital ,The Mall Saddar Rawalpindi, 46000 Rawalpindi",33.59691,73.04681,https://images.deliveryhero.io/image/fd-pk/LH/u2zw-hero.jpg,Rawalpindi
r17,17,r,GYRO,3.6/5 Stars,7:00 PM, 11:30 pm,"GYRO, Westridge Shopping Complex, Westridge 1, Unit #06 /Street 5, Westridge 1, Rawalpindi, Punjab 46000, 46000 Rawalpindi",33.6111592,73.0231711,https://images.deliveryhero.io/image/fd-pk/LH/r3fm-hero.jpg,Rawalpindi
r19,19,r,Syed's Kitchen,3.4/5 Stars,9:00 AM, 11:59 pm,"House Of Syed Mustafa Ali, Millat Abad, Dhoke Banaras,Near Hira School, Rawalpindi, 44000 Rawalpindi",33.5931977,73.016685,https://images.deliveryhero.io/image/fd-pk/LH/jw15-hero.jpg,Rawalpindi
r20,20,r,Bismillah Cream Fruit chat,3.4/5 Stars,3:00 PM, 11:00 pm,"Mohalla Raja Sultan,  Mohalla Raja Sultan Shop #1 opposite Kashmir milk shop Mohalla raja sultan rawalpindi, 00000 Rawalpindi",33.63359265,73.05929396,https://images.deliveryhero.io/image/fd-pk/LH/f101-hero.jpg,Rawalpindi
r21,21,r,Codessa,3.7/5 Stars,12:15 PM, 10:45 pm,"Westridge Shopping Complex ,Near CSD, 46000 Rawalpindi",33.610888,73.023794,https://images.deliveryhero.io/image/fd-pk/LH/u5dz-hero.jpg,Rawalpindi
r22,22,r,Amna's Kitchen,3.5/5 Stars,12:00 PM, 11:00 pm,"H# 953, St# 7 Azizabad Abid Majeed Road Rawalpindi Cantt, near tehkhana masjid, 46000 Rawalpindi",33.5844848,73.0297891,https://images.deliveryhero.io/image/fd-pk/LH/eg9h-hero.jpg,Rawalpindi
r23,23,r,KITCHEN POINT,4.2/5 Stars,10:45 AM, 11:59 pm,"P-1566-C,  Asghar Mall Scheme, Near Allah wali Market, Rawalpindi, 46000 Rawalpindi",33.6313688,73.0660412,https://images.deliveryhero.io/image/fd-pk/LH/xe5m-hero.jpg,Rawalpindi
r24,24,r,Maa G Restaurant,3.6/5 Stars,10:00 AM, 11:00 pm,"House No#297 Lane No#5 Near Umer Farooq Masjid Peshawar Road Rawalpindi, 46000 Rawalpindi",33.600425,73.014655,https://images.deliveryhero.io/image/fd-pk/LH/u7sn-hero.jpg,Rawalpindi
r25,25,r,Gujranwala Food Point,3.8/5 Stars,9:00 AM, 3:00 pm,"Holy Family Road Muhalla Raja Sultan Gujranwala Food Point in front of Kashmir Milk Shop, Rawalpindi, 46000 Rawalpindi",33.63364275,73.05926595,https://images.deliveryhero.io/image/fd-pk/LH/nqqh-hero.jpg,Rawalpindi
r26,26,r,Eat Time,4.1/5 Stars,10:15 AM, 11:59 pm,"Plot 14B/10, Near Good Luck Bakery, Mohalla Angat Pura, Asghar Mall, Rawalpindi, 46000 Rawalpindi",33.6276617,73.0602981,https://images.deliveryhero.io/image/fd-pk/LH/d9sd-hero.jpg,Rawalpindi
r27,27,r,Lahori Refreshment & Fast Food,3.5/5 Stars,10:30 AM, 11:59 pm,"Main Bank Road Opp.National Bank Saddar Rawalpindi, 46000 Rawalpindi",33.596773,73.050894,https://images.deliveryhero.io/image/fd-pk/LH/u4lk-hero.jpg,Rawalpindi
r28,28,r,Mr. Jolly,3.9/5 Stars,3:00 PM, 11:00 pm,"House no 9, St no 6A, Hill view lane, Adiala road, Rawalpindi, 44000 Rawalpindi",33.5472786,73.058771,https://images.deliveryhero.io/image/fd-pk/LH/x0zj-hero.jpg,Rawalpindi
r29,29,r,The House of Pastas,4/5 Stars,12:30 PM, 10:00 pm,"House no. 245/c R.A Bazaar  F.G Boys School R.A Bazzar Saddar Rawalpindi, 44000 Rawalpindi",33.58926895,73.04426776,https://images.deliveryhero.io/image/fd-pk/LH/a1kz-hero.jpg,Rawalpindi
r30,30,r,Pizza Crunch,4/5 Stars,12:30 PM, 11:59 pm,"Shop # G1 , Ittehad Plaza, Range Road, Rawalpindi, 46000 Rawalpindi",33.6005726,73.0081332,https://images.deliveryhero.io/image/fd-pk/LH/xybi-hero.jpg,Rawalpindi
r34,34,r,Frenzos Broast,4.2/5 Stars,6:15 PM, 11:00 pm,"Shop #1 Jan Plaza Aibak road near silk bank westridge Rawalpindi cantt, 46000 Rawalpindi",33.6091111,73.0220556,https://images.deliveryhero.io/image/fd-pk/LH/x5vv-hero.jpg,Rawalpindi
r35,35,r,Biryani Master - Saddar,4.1/5 Stars,3:00 PM, 3:15 pm,"Haider Rd, 54-G, Near GPO, Saddar, Rawalpindi, 46000 Rawalpindi",33.59511705,73.05185883,https://images.deliveryhero.io/image/fd-pk/LH/rn3e-hero.jpg,Rawalpindi
r36,36,r,International Pizza - Qasim Market,4/5 Stars,12:15 PM, 11:59 pm,"Log Welfare, Askari 11, Near Qasim Market,Rawalpindi, 46000 Rawalpindi",33.5990235,73.0488316,https://images.deliveryhero.io/image/fd-pk/LH/j0mn-hero.jpg,Rawalpindi
