linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
21,Anas,1/5 Stars,25-02-21,Ghatiya tareen biryani i have ever eaten tasteless masla hi masla chawal naam ko thy,Karachi
21,Sadia,1/5 Stars,16-02-21,Bed experiace teast less quality 0,Karachi
21,Dua,3/5 Stars,07-02-21,Biryani was so cold .all taste was furnished due to coldness,Karachi
21,Hira,1/5 Stars,04-02-21,Too much spicy biryani,Karachi
21,owais,1/5 Stars,10-01-21,Nice,Karachi
21,Rukhsar,1/5 Stars,07-01-21,Tastelesss biriyani ever without chiken,Karachi
21,anas,1/5 Stars,01-01-21,Chotiyapeee ki biryani,Karachi
21,Ahmed,1/5 Stars,31-12-20,Taste was not like before,Karachi
21,Ayesha,5/5 Stars,30-12-20,Very tasty 😋 food,Karachi
21,saira,1/5 Stars,27-12-20,Bhtt hii kharab experience rha mera aplog nee srff masala bhar kr dedia chawal bilkul nai thaa srff masala orr kachra hi kachra usmnn .,Karachi
21,Farman,3/5 Stars,20-12-20,Too spicy,Karachi
21,Urooj,1/5 Stars,16-12-20,Biryani was very spicy,Karachi
21,noman,2/5 Stars,15-12-20,Biryani was not fresh bad experience,Karachi
21,mobi,1/5 Stars,12-12-20,"Uncooked chicken, and cold",Karachi
21,AriSha,1/5 Stars,10-12-20,Tastless food.. rice was not cooked,Karachi
21,Quratshibly,5/5 Stars,07-12-20,Increase the quantity of rice,Karachi
21,Anam,1/5 Stars,07-12-20,Tasteless biryani with smely chckn,Karachi
21,Farrukh,5/5 Stars,05-12-20,Awesome,Karachi
21,Owais,4/5 Stars,29-11-20,Order received very late. Biryani bilkul bhi garam ni ghi..,Karachi
21,Waqas,1/5 Stars,28-11-20,Biryani doesn't have a taste,Karachi
21,FaizanKhan,5/5 Stars,27-11-20,good,Karachi
21,Muhammad,4/5 Stars,27-11-20,The taste was good but it was so spicy 🌶,Karachi
21,samrah,5/5 Stars,23-11-20,Taste acha tha pr thandi or oily thi bht,Karachi
21,Noor,1/5 Stars,21-11-20,No standard food available on foodpanda.,Karachi
21,Javeria,5/5 Stars,20-11-20,They did not give spoons and for this we suffer alot..,Karachi
21,Atif,5/5 Stars,08-11-20,Garama garam biryani ho to maza ajay,Karachi
21,amaya,5/5 Stars,28-10-20,Goood,Karachi
21,Syeda,2/5 Stars,22-10-20,Biryani taste not good,Karachi
21,Maherumair,1/5 Stars,22-10-20,Briyani is taste less,Karachi
21,Sayyieda,4/5 Stars,11-10-20,"Less in quantity,  was too much hungry and when saw the box was very dissapointed... But khair h..  I gave u 4stars of rating, and suggested  to my circle",Karachi
21,Mrs,1/5 Stars,11-10-20,کھانا اک دم بیکار تھا صرف مصالحہ تھا مرچ ہی تھی کوٸی ذاٸقہ نہیں بریانی کا ۔۔,Karachi
23,Muhammad,5/5 Stars,04-12-20,Nice & crispy.!,Karachi
23,Shaheryar,5/5 Stars,01-10-20,Amazing experience,Karachi
23,Hiba,1/5 Stars,27-09-20,Worst food bhttt gnda. Burger is smelly. And no cheese in big chicken cheese nurger like seriously. Mayo roll  tpu aaisaa phatta hwa thaa k na pucho. Gmdi wali ketchup s ebhra hwa bs. Herky wala jitnaa khud gamda rehta hai na wese hi gmda burger deya. Seriously kabhi b koi na mangwaye. Pachtaogay. Mark my words Pachtaogay,Karachi
23,Hammad,5/5 Stars,03-09-20,2nd time i didnt get bun with broast plz add bun with broast ..as the meal is incomplete without bun,Karachi
23,Hammad,4/5 Stars,23-08-20,Add bun with brosat,Karachi
23,mohammad,1/5 Stars,30-07-20,Food was not fresh mayo garlic roll was baasi,Karachi
25,Fasihuddin,1/5 Stars,06-08-21,baykar or third class pasay zaya huway h kacha tha or sirf bread thi band kar do aysay resturant ko,Karachi
25,Faizan,1/5 Stars,29-06-21,Poor not buy again,Karachi
25,Akhter,1/5 Stars,26-06-21,"Bohat he gathya restaurant hey.....dont try......cheese shawarma order kiya tha.....parthey main gobi bhar key roll bana k bahaj diya,......koi ala kisam key gathiya log hey.......total waste .... Dont try",Karachi
25,Tabish,2/5 Stars,26-06-21,The taste was worst ..,Karachi
25,MTalha,1/5 Stars,20-06-21,Pizza not good waste money,Karachi
25,Sadia,1/5 Stars,13-06-21,Average,Karachi
27,Subhaan,1/5 Stars,06-04-21,I didnot get my order.. Refund my amount... I am very disapponted with this act of panda..,Karachi
29,Muhammad,1/5 Stars,25-06-21,"Rotten chicken used, very disappointed...",Karachi
29,Ali,5/5 Stars,01-06-21,It was amazing,Karachi
29,Muhib,2/5 Stars,31-05-21,Every thing was good but the quality could be om0roved,Karachi
29,MuhammadNoman,1/5 Stars,29-05-21,The food was basi (stale)... have ordered from here before the quality was good but now they have degraded it... i don't know why they are doing it... but i hope that they get back to their old level soon.,Karachi
29,Coo,1/5 Stars,01-05-21,"Worst exp.
Expired chicken.
Lost of money
They should not play with others life
Food authority must check their products",Karachi
29,Farhan,1/5 Stars,26-04-21,The meal was pathetic and I really disappointed your service this is my last experience with food panda.,Karachi
29,Faizan,5/5 Stars,10-04-21,I hope you will maintain the same quality,Karachi
29,Bilal,5/5 Stars,07-04-21,Everything was quite perfect!! Highly recommended ❤️,Karachi
29,Ashir,5/5 Stars,02-04-21,Absolutely crunchy juicy highly recommend,Karachi
29,Shahrukh,1/5 Stars,03-10-20,Food was under cooked,Karachi
29,Mubashir,1/5 Stars,23-09-20,Food was pathetic..no taste.. No quality... So cold and stale,Karachi
29,Faraz,3/5 Stars,20-09-20,Due to deal stuff was less in shawarma all discount cut from less stuff....clever..,Karachi
29,Muhammad,1/5 Stars,15-09-20,"Fries was missing 😑
Peta bread was also not fresh !",Karachi
29,Maheen,5/5 Stars,14-09-20,The food was less then we orderd.packinging was so bad but,Karachi
29,Hassaan,5/5 Stars,05-09-20,"Zabardast food ... 
Great service",Karachi
29,aroush,5/5 Stars,02-09-20,Food is not hot,Karachi
29,Muhammad,3/5 Stars,31-08-20,Quality not good disappointed ketup and mayonise were not up to the mark.,Karachi
29,aroush,4/5 Stars,31-08-20,Taste is good rider is too late and food is not hot ..,Karachi
30,Mustaqeem,1/5 Stars,29-06-21,"Third class, ghatiya no taste, especially maine instruction dia tha ke ketchup na dhalo phir bhi pagal logon ne dhal dia     very disappointed",Karachi
30,Abdul,3/5 Stars,29-06-21,Food was cold,Karachi
30,Ali,1/5 Stars,24-06-21,Fries nhi bhejy,Karachi
30,Samia,2/5 Stars,20-06-21,I ordered roll... That wasn't fresh and too small,Karachi
30,Owais,1/5 Stars,15-06-21,really bad experience i ordered kabab roll instead they send my chicken roll and even food panda didn't help me here really upset,Karachi
30,Muhammad,3/5 Stars,14-06-21,Roll phele se bhai patla kr diya hy,Karachi
30,Umair,1/5 Stars,13-06-21,Phli dafa jb order kra twister roll to thk tha per ab ki bar totally cornflour ki layer very disappointed r tikka to totally bkwas na chatni na piyaz 240 me 🙄😏,Karachi
30,Talal,1/5 Stars,12-06-21,"Not good... Broast was not properly cooked..
Behari boti quality and quantity too bad.. 😒",Karachi
30,ArsalanAhmed,4/5 Stars,10-06-21,Coalslaw nhi tha 😢,Karachi
30,Umair,1/5 Stars,03-06-21,I have ordered beef burger and beef spicy mayo roll. The smelly beef patty in the burger and the roll was of chicken instead of beef. Very bad experience!!,Karachi
30,Alishba,1/5 Stars,01-06-21,Highly disappointed with the food..,Karachi
30,Humera,4/5 Stars,01-06-21,I have tried zinger and chicken chatting rolls and both r to good,Karachi
30,wahaj,1/5 Stars,01-06-21,Pathetic taste,Karachi
30,Muhammad,3/5 Stars,31-05-21,Mjy iska feiry zinger bht pasand tha but this time zara b acha nhi tha wo taste hi nhi tha,Karachi
30,Huzaifa,1/5 Stars,31-05-21,Blkl beekar hai broast mangwaya tha pta aik chicken ka piece bhejwa diya bs woh bh kacha aur baasi,Karachi
30,Rafay,1/5 Stars,30-05-21,Worst experience. We ordered 4 bbq sandwiches bakhuda bhook se halat kharab hogai thi kyun k order late aya. Or jab aaya tou order ghalat tha. 4 sastay chicken burger. We paid 995 for the sandwiches not for those 100 or so burgers that we never ordered. I have the order id with pictures proof.,Karachi
30,Shahrukh,1/5 Stars,29-05-21,Oily food and stale,Karachi
30,Naseer,1/5 Stars,29-05-21,It wasss tooo bad it was a totally wastage of money from now I can't even imagine to buy any food from this restaurant,Karachi
30,Hamaila,3/5 Stars,28-05-21,Excellent,Karachi
30,Saqib,1/5 Stars,28-05-21,Pathetic broast. Inkk ban kr k band kr dena chahye,Karachi
30,Iblal,3/5 Stars,20-01-21,They sent leg instead of chest,Karachi
30,Amatul,1/5 Stars,17-01-21,Bad service of islam food,Karachi
30,Hamza,2/5 Stars,16-01-21,Really disappointed,Karachi
30,Waqar,5/5 Stars,16-01-21,Tasty food zabardast perfect meal,Karachi
30,Saeed,1/5 Stars,15-01-21,Sand ⏳ in all four meals.,Karachi
30,javed,1/5 Stars,14-01-21,Taste was not good this time,Karachi
30,JOhnn,4/5 Stars,13-01-21,Good food,Karachi
30,Erum,1/5 Stars,12-01-21,Bht  chota pieces thy,Karachi
30,Ansharah,1/5 Stars,12-01-21,"The chicken in the roll was totally uncooked ..
It wasnt good",Karachi
30,Sana,5/5 Stars,12-01-21,As usual amazing,Karachi
30,Muhammad,1/5 Stars,11-01-21,"The food quantity was not good. I ordered two Qtr. Broast but they were just 2 pieces of chicken altogether not enough for a single person. This is dishonesty, if we are using voucher code doesn't means that we aren't paying or it's a freebie. The voucher amount is incurred and that's a customer loyalty thing. But food business here thinks otherwise.",Karachi
30,mohammad,1/5 Stars,11-01-21,It was so bad and also it was smelling,Karachi
30,Zohair,1/5 Stars,08-01-21,Upsad over all ...this time,Karachi
30,Dilawar,1/5 Stars,04-01-21,No mayo in garlic mayo roll. Pathetic,Karachi
30,Hafsa,1/5 Stars,03-01-21,Boht jhooti or dhokebaazi Ki baat Hy ye kii Mene Bihari chatni roll mngvaya but unhone mjhe tikka roll Laa dia mtlb Kitna ghlt h ye...Bihari boti or tikka main Kitna farq hota h Magar nh fraud Hy ye Or chatnii to dur dur tak nhiii thiii!!! Bss tikka or masala Tha!! Mtlb beef Bihari chatni roll K naam par itna jhoot...,Karachi
30,Zaid,1/5 Stars,03-01-21,"Chutyape ka zinger, bx smell arhi thi burgerr me sarne ki",Karachi
30,SMJunaid,1/5 Stars,02-01-21,Bakwas taste,Karachi
30,Junaid,4/5 Stars,02-01-21,BBQ sandwich is good as always..,Karachi
30,Syed,1/5 Stars,02-01-21,Third class .. horrible.. irresponsible and wrong order they giving us .. will not try this place again,Karachi
30,Palwasha,5/5 Stars,31-12-20,Phatta hua note dekr gye hain rider sahab. Andheray ki wajah se note dekha nahi at the time,Karachi
30,syeda,1/5 Stars,29-12-20,Food was not fresh at all .. sended cold food,Karachi
