linkNumber,reviewBy,reviewRating,reviewAt,reviewDescription,city
7,Emaad,1/5 Stars,28-12-20,"Bought mushroom beef burger, patty was smelly. Not as I thought it would be.",Islamabad
7,Mohamed,1/5 Stars,05-12-20,The food was rotten,Islamabad
7,Waleed,1/5 Stars,26-11-20,"Taste was mot good at all.
Peri peri chicken is far better",Islamabad
7,fatima,1/5 Stars,22-11-20,Chicken was uncooked,Islamabad
7,Muhammad,5/5 Stars,20-11-20,"The classic beef burger was great when I had it. I hope you keep the quality and improve even more. 

The critique I have is that the bun to meat ratio is off. The meat diameter is less compared to the bun which can make it feel more bready than meaty. I would recommend adding another 10-20gms to the patty and increasing its diameter.

Otherwise, good stuff. [Add an option for beef/turkey bacon too]

Very pleasant experience otherwise :)",Islamabad
7,MuhammadWali,5/5 Stars,16-11-20,Superb,Islamabad
11,Aamir,3/5 Stars,23-12-20,Amount of daal was not enough with rice it was less then half cup,Islamabad
11,Faryda,1/5 Stars,20-12-20,Had severe food poisoning,Islamabad
11,Omer,1/5 Stars,18-12-20,Was the worst allu ki bujjia I have ever had.,Islamabad
11,Waleed,1/5 Stars,14-12-20,"The worst food i've ever had, price is sky high and the quality isn't reflective of that. Served cold and tasteless, pathetic service and inedible food",Islamabad
11,Hassan,2/5 Stars,28-11-20,"For 1,000 rupees, they send you a plate of rice with potatoes + 6 tiny beef bihari botis  and a few tablespoons of tomato chutney. Extremely overpriced , extremely small serving and zero value for money. Absolutely not recommended. My first negative review on foodpanda in 3 years but this restaurant deserves it",Islamabad
12,Sahar,1/5 Stars,11-09-21,Food was pthatic quntity was as well,Islamabad
12,Mehar,4/5 Stars,01-09-21,Yeah it was good,Islamabad
12,Nelofar,4/5 Stars,26-08-21,Good,Islamabad
12,Tariq,5/5 Stars,19-08-21,MO,Islamabad
12,Tariq,5/5 Stars,08-08-21,MM,Islamabad
12,Shifa,5/5 Stars,11-07-21,Delicious channay.,Islamabad
12,Nirvana,3/5 Stars,06-07-21,Tikka too small but taste good,Islamabad
12,zar,1/5 Stars,25-06-21,Horrible spicy tikka,Islamabad
12,Umair,2/5 Stars,03-06-21,"At least put good chicken piece, there is no logic to put a small wing piece",Islamabad
12,Rida,2/5 Stars,01-06-21,The daal sent was very less seemed like something extra given along with the rice.,Islamabad
12,Naeem,5/5 Stars,02-05-21,This is one of my favourite places to order. The food is well cooked and very tasty.,Islamabad
12,Mrs,5/5 Stars,01-05-21,Chicken piece was excellently cooked,Islamabad
12,Naeem,5/5 Stars,28-04-21,Food was tasty,Islamabad
13,MuhammadUsman,5/5 Stars,21-08-21,Experience was excellent. Food was delicious and I appreciate the effort for packaging.,Islamabad
13,Osman,4/5 Stars,10-08-21,I Food tasted good. Quantity can be improved,Islamabad
14,Omar,2/5 Stars,14-09-21,It was fine,Islamabad
14,Attiya,1/5 Stars,28-08-21,I ordered chicken karahi and egg-fried rice. The taste of rice was so bad and the chicken pieces in karahi were not good.,Islamabad
14,Suban,1/5 Stars,16-08-21,Worts cold biryani every don't try at all,Islamabad
14,Maira,4/5 Stars,06-08-21,Quantity and quality decreasing kindly check and improve one of Ur old costumer,Islamabad
14,Naseer,2/5 Stars,04-08-21,Average food steak was pathetic,Islamabad
14,Abid,1/5 Stars,01-08-21,Some items were missing.,Islamabad
14,SyedMajid,2/5 Stars,18-07-21,Food was not up to the mark. Need improvement in quantity and quality.,Islamabad
14,Anum,4/5 Stars,09-07-21,Fried rice were a little hard but tasty. Thank you,Islamabad
14,Umair,1/5 Stars,27-06-21,"Food was given in broken box, half the rice in shopping bag :)",Islamabad
14,Maryam,2/5 Stars,25-06-21,Chicken wings were burned,Islamabad
14,Usman,1/5 Stars,21-06-21,Tatti hai yeh tatti,Islamabad
14,Maira,4/5 Stars,18-06-21,Vegetables needed to be cooked more plus loaded fries had no flavour except cheese,Islamabad
14,Farooq,4/5 Stars,10-06-21,Wonderful,Islamabad
14,Hirra,1/5 Stars,05-06-21,Worst food,Islamabad
14,An,5/5 Stars,05-06-21,Chicken chown ws good,Islamabad
14,An,1/5 Stars,28-05-21,The cheese fries were too less and cheese was smelly,Islamabad
14,Rida,2/5 Stars,25-05-21,"The food quality was average one piece of chicken wasn't properly cooked other was blackened due to overcook
The presentation of food wasn't good everything was mixed up in box",Islamabad
14,Shaheer,1/5 Stars,21-05-21,I wasn't Cooked well,Islamabad
14,An,5/5 Stars,20-05-21,I ordered chicken fried rice and they were delicious!!,Islamabad
14,Naeem,5/5 Stars,09-05-21,Excellent food as usual,Islamabad
14,Tahir,5/5 Stars,07-05-21,Ok,Islamabad
14,Sadaf,1/5 Stars,29-04-21,Not gud experience. Quantity v less n no veggies,Islamabad
14,Naeem,5/5 Stars,20-04-21,Excellent food,Islamabad
14,Yasir,1/5 Stars,10-04-21,"I ordered roll parathas, but what i received was notjing near to it. It appeared that they uswd left over crusts to wrap the thinhgs that were never the ingredients of roll paratha. Very bad experience.",Islamabad
14,Haider,1/5 Stars,03-04-21,"Ordered manchurian and fried rice. Taste was pathetic,  couldn't eat",Islamabad
14,Nabeel,1/5 Stars,01-04-21,"ver bad
waste of money",Islamabad
14,Mohammed,2/5 Stars,20-03-21,"They switched from thick fries to thin fries. Which are not even tasty.

Also ordered jalapeno burger and it didn't had any jalapeno in it. Just same zinger piece in it with some cream thats it.

Loved their food before. Hope they go back to previous cooking style.",Islamabad
14,Syed,2/5 Stars,12-03-21,"Parhata roll was like a shawarma.
Taste: 2.5/5",Islamabad
14,Faizan,4/5 Stars,23-02-21,"Biryani was not spicy!
But service is good",Islamabad
14,Nafia,5/5 Stars,14-02-21,Good food,Islamabad
14,Zikra,1/5 Stars,29-01-21,naan was not good,Islamabad
14,Syed,5/5 Stars,29-01-21,Wonderful experience. Tasty food. Good quality. Timeless delivery.,Islamabad
14,Ibrahim,1/5 Stars,16-01-21,Biryani was not good at all it was like boiled rice with a piece of chicken really disappointed by the poor quality food.,Islamabad
